Tickets: 6016
Sets: 420

+-------------------------------------------------------------+-----+----+----+----+----+----+------+
|                             addr                            |  1  | 2  | 3  | 4  | 5  | 6  | sets |
| stake1u9duzd9ufgph52g75fjhyt2rgsxhqk8a3zy8ps7hfggl0xcvufvxw |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9ehzmqx8g27zhwrzr8jsqqgq99jmlzd33u5kpcyzhzankq9gdr4v |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9f92dkdg5m5cwj7hf7urlpqptk458k8w623sl0u6p4we7gq8cwdr |  1  | 1  | 2  | 1  | 1  | 6  |  2   |
| stake1u9gj43ryj3hkg2ldt83rfrn4kgnu9f5hqscwqlduarrg85gscjjkc |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9gqerw0avszgmzz3n69srsne07qwsnp84sqn2xjmvxsg5qt3jc63 |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9guff88ljzrkqzeus09xghvjfh42j3hx5cxquvdazfp4zglyeard |  13 | 0  | 1  | 1  | 0  | 1  |  1   |
| stake1u9hd6xs22t02nmh9c5s52a3s5r5krlm0amqlkwsf5mfhzdgcz42kl |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9jmqss5fe0fjtp3499mvjr5eglrwpt7kdpm56ye2eltudq3dpkxu |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9k9pydkvrh8nznr5wrmh5cevclm3pvv5tc634vde95z72gf7jqql |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9ky5r6m72fpevghrzjqlwsj493art6dx6urlep4llz9a6gf2hnrf |  1  | 0  | 1  | 1  | 1  | 1  |  1   |
| stake1u9m2dckuhujfskae8w2vuw49kpqhgmwvndx6lcku96ajelgtqreyk |  1  | 0  | 0  | 2  | 1  | 1  |  1   |
| stake1u9mf04nc7gz46lrer4p7kt860fcfw4r9d0zfvfrtp2cg6tcqak8np |  5  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9nufcjsy3p26mk3wjnkhpxdp2urcqah37kv5q0tnvsrrkcy4hlxd |  1  | 0  | 0  | 0  | 0  | 0  |  0   |
| stake1u9nzfjvra6wjjf56k679y8z6zq6m8qgmp235q0wuxxj55sgvksu76 |  10 | 0  | 0  | 0  | 0  | 0  |  0   |
