addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1130 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1431 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1857 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1896 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook291 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook294 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook389 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook602 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook620 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook98 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1219 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1233 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1491 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1516 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook1553 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook348 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook580 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook643 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook902 
addr1qxzmp4knlfw7yspgljlauh26s0e99sdh7wfgz0g9hszt7tuczd0lq387qay8sjzp0z9xq5f4ucpvqkyhg339c0gzftks5cwecn: RaffleforUkraineOGBook96 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1106 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1193 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1283 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1439 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1756 
addr1q9zvu5h5erqgj3j6a6ar85j02pj2a4hfppnvzem9wkqa7lenvtecglt96vemd84dwgsqwj4klyzdqa24x2w8fhp3306s36ggzm: RaffleforUkraineOGBook1928Copy 
